Constituent ID,Constituent Name,Fund,Gift Date,Gift Amount,Payment Method,Gift Type,Fund Description,Appeal,Campaign,Acknowledgement Date,Receipt Amount,Receipt Date
BW-20004,Robert Espinoza,Brightwater Unrestricted,07/04/2022,1000.00,Credit Card,Individual Gift,Brightwater Foundation,Independence Appeal,Individual 2022,07/06/2022,1000.00,07/06/2022
BW-20005,Linda Yamamoto,Brightwater Education Fund,08/15/2022,7500.00,Wire Transfer,Individual Gift,Brightwater Foundation,Summer Appeal 2022,Individual 2022,08/19/2022,7500.00,08/19/2022
BW-20006,David Kowalski,Brightwater Unrestricted,10/31/2022,500.00,Credit Card,Individual Gift,Brightwater Foundation,Fall Appeal 2022,Individual 2022,11/02/2022,500.00,11/02/2022
BW-20007,Patricia Norris,Brightwater Workforce Fund,2022-11-28,$15000.00,Check,Major Gift,Brightwater Foundation,Year-End 2022,Individual 2022,2022-12-02,15000.00,2022-12-02
BW-20008,Michael Oduya,Brightwater Unrestricted,12/15/2022,3000.00,Credit Card,Individual Gift,Brightwater Foundation,Year-End 2022,Individual 2022,12/18/2022,3000.00,12/18/2022
BW-20009,Jennifer Holbrook,Brightwater Education Fund,01/10/2023,2000.00,Check,Individual Gift,Brightwater Foundation,New Year Appeal 2023,Individual 2023,01/14/2023,2000.00,01/14/2023
BW-20010,Thomas Guerrero,Brightwater Workforce Fund,2023-03-05,5000.00,Wire Transfer,Individual Gift,Brightwater Foundation,Spring Appeal 2023,Individual 2023,2023-03-09,5000.00,2023-03-09
BW-30001,JPMorgan Chase Foundation,Brightwater Corporate Partners,09/01/2021,$50000.00,Wire Transfer,Corporate Grant,Brightwater Foundation,Corporate Appeal 2021,Corporate 2021,09/08/2021,50000.00,09/08/2021
BW-30002,BlackRock Charitable Foundation,Brightwater Corporate Partners,2021-10-15,25000.00,Wire Transfer,Corporate Grant,Brightwater Foundation,Corporate Appeal 2021,Corporate 2021,2021-10-22,25000.00,2021-10-22
BW-30003,Vanguard Charitable,Brightwater Corporate Partners,03/31/2022,$30000.00,Wire Transfer,DAF Grant,Brightwater Foundation,Corporate Appeal 2022,Corporate 2022,04/04/2022,30000.00,04/04/2022
BW-30004,JPMorgan Chase Foundation,Brightwater Corporate Partners,2022-09-15,50000.00,Wire Transfer,Corporate Grant,Brightwater Foundation,Corporate Appeal 2022,Corporate 2022,2022-09-22,50000.00,2022-09-22
BW-30005,Fidelity Charitable,Brightwater Corporate Partners,11/20/2022,20000.00,Wire Transfer,DAF Grant,Brightwater Foundation,Year-End 2022,Corporate 2022,11/25/2022,20000.00,11/25/2022
BW-20011,Angela Foster,Brightwater Unrestricted,2023-05-10,1500.00,Credit Card,Individual Gift,Brightwater Foundation,Spring Appeal 2023,Individual 2023,2023-05-13,1500.00,2023-05-13
BW-20012,Carlos Mendoza,Brightwater Workforce Fund,06/01/2023,$10000.00,Wire Transfer,Major Gift,Brightwater Foundation,Mid-Year 2023,Individual 2023,06/06/2023,10000.00,06/06/2023
BW-20013,Susan Park,Brightwater Education Fund,08/20/2023,4000.00,Check,Individual Gift,Brightwater Foundation,Summer Appeal 2023,Individual 2023,08/25/2023,4000.00,08/25/2023
BW-20014,Kevin Abramowitz,Brightwater Unrestricted,2023-10-08,750.00,Credit Card,Individual Gift,Brightwater Foundation,Fall Appeal 2023,Individual 2023,,750.00,2023-10-12
BW-20015,Maria Santos,Brightwater Workforce Fund,11/15/2023,8000.00,Wire Transfer,Individual Gift,Brightwater Foundation,Year-End 2023,Individual 2023,11/19/2023,8000.00,11/19/2023
BW-20016,Carlos Mendoza,Brightwater Workforce Fund,11/17/2023,$10000.00,Wire Transfer,Major Gift,Brightwater Foundation,Mid-Year 2023,Individual 2023,11/22/2023,10000.00,11/22/2023
BW-20017,Raymond Osei,Brightwater Unrestricted,12/01/2023,2500.00,Credit Card,Individual Gift,Brightwater Foundation,Year-End 2023,Individual 2023,12/04/2023,2500.00,12/04/2023
BW-20018,Teresa Blanchard,Brightwater Education Fund,2024-02-14,3000.00,Check,Individual Gift,Brightwater Foundation,Valentine's Day 2024,Individual 2024,2024-02-18,3000.00,2024-02-18
BW-20019,Nathan Osei,Brightwater Unrestricted,03/25/2024,500.00,Credit Card,Individual Gift,Brightwater Foundation,Spring Appeal 2024,Individual 2024,,500.00,03/30/2024
BW-30006,Schwab Charitable,Brightwater Corporate Partners,2024-05-30,$35000.00,Wire Transfer,DAF Grant,Brightwater Foundation,Corporate Appeal 2024,Corporate 2024,2024-06-04,35000.00,2024-06-04
BW-20020,Diane Calloway,Brightwater Workforce Fund,07/19/2024,6000.00,Wire Transfer,Individual Gift,Brightwater Foundation,Summer Appeal 2024,Individual 2024,07/23/2024,6000.00,07/23/2024
